Date	Time (AST)	Discharge (cms)
05/06/15	23:47	3.54
05/07/15	0:02	3.66
05/07/15	0:17	3.73
05/07/15	0:32	3.61
05/07/15	0:47	3.73
05/07/15	1:02	3.82
05/07/15	1:17	3.61
05/07/15	1:32	3.59
05/07/15	1:47	3.57
05/07/15	2:02	3.59
05/07/15	2:17	3.71
05/07/15	2:32	3.68
05/07/15	2:47	3.64
05/07/15	3:02	3.64
05/07/15	3:17	3.52
05/07/15	3:32	3.41
05/07/15	3:47	3.45
05/07/15	4:02	3.38
05/07/15	4:17	3.36
05/07/15	4:32	3.36
05/07/15	4:47	3.29
05/07/15	5:02	3.27
05/07/15	5:17	3.13
05/07/15	5:32	3.20
05/07/15	5:47	3.10
05/07/15	6:02	3.17
05/07/15	6:17	3.31
05/07/15	6:32	3.34
05/07/15	6:47	3.27
05/07/15	7:02	3.34
05/07/15	7:17	3.48
05/07/15	7:32	3.43
05/07/15	7:47	3.38
05/07/15	8:02	3.54
05/07/15	8:17	3.61
05/07/15	8:32	3.38
05/07/15	8:47	3.34
05/07/15	9:02	3.41
05/07/15	9:17	3.52
05/07/15	9:32	3.57
05/07/15	9:47	3.59
05/07/15	10:02	3.64
05/07/15	10:17	4.87
05/07/15	10:32	4.85
05/07/15	10:47	5.69
05/07/15	11:02	7.09
05/07/15	11:17	7.00
05/07/15	11:32	6.90
05/07/15	11:47	6.86
05/07/15	12:02	6.81
05/07/15	12:17	6.67
05/07/15	12:32	7.07
05/07/15	12:47	6.90
05/07/15	13:02	6.60
05/07/15	13:17	6.86
05/07/15	13:32	6.69
05/07/15	13:47	6.95
05/07/15	14:02	7.00
05/07/15	14:17	6.65
05/07/15	14:32	6.67
05/07/15	14:47	6.62
05/07/15	15:02	6.58
05/07/15	15:17	6.60
05/07/15	15:32	6.65
05/07/15	15:47	6.65
05/07/15	16:02	6.76
05/07/15	16:17	6.65
05/07/15	16:32	6.79
05/07/15	16:47	7.02
05/07/15	17:02	6.88
05/07/15	17:17	7.32
05/07/15	17:32	7.44
05/07/15	17:47	7.30
05/07/15	18:02	7.39
05/07/15	18:17	7.42
05/07/15	18:32	7.56
05/07/15	18:47	7.60
05/07/15	19:02	7.79
05/07/15	19:17	7.98
05/07/15	19:32	8.12
05/07/15	19:47	8.21
05/07/15	20:02	8.19
05/07/15	20:17	8.28
05/07/15	20:32	8.37
05/07/15	20:47	8.63
05/07/15	21:02	8.65
05/07/15	21:17	8.61
05/07/15	21:32	8.58
05/07/15	21:47	8.63
05/07/15	22:02	8.54
05/07/15	22:17	8.65
05/07/15	22:32	8.68
05/07/15	22:47	8.79
05/07/15	23:02	8.58
05/07/15	23:17	8.77
05/07/15	23:32	8.70
05/07/15	23:47	8.77
05/08/15	0:02	8.72
05/08/15	0:17	9.00
05/08/15	0:32	8.96
05/08/15	0:47	9.05
05/08/15	1:02	9.03
05/08/15	1:17	9.10
05/08/15	1:32	9.31
05/08/15	1:47	9.10
05/08/15	2:02	9.24
05/08/15	2:17	9.07
05/08/15	2:32	9.37
05/08/15	2:47	9.12
05/08/15	3:02	9.00
05/08/15	3:17	9.31
05/08/15	3:32	9.31
05/08/15	3:47	9.24
05/08/15	4:02	9.24
05/08/15	4:17	9.35
05/08/15	4:32	9.40
05/08/15	4:47	9.58
05/08/15	5:02	9.35
05/08/15	5:17	9.40
05/08/15	5:32	9.40
05/08/15	5:47	9.42
05/08/15	6:02	9.49
05/08/15	6:17	9.28
05/08/15	6:32	9.31
05/08/15	6:47	9.40
05/08/15	7:02	9.37
05/08/15	7:17	9.00
05/08/15	7:32	9.00
05/08/15	7:47	9.31
05/08/15	8:02	9.05
05/08/15	8:17	8.82
05/08/15	8:32	8.91
05/08/15	8:47	8.96
05/08/15	9:02	8.96
05/08/15	9:17	8.93
05/08/15	9:32	8.68
05/08/15	9:47	8.72
05/08/15	10:02	8.82
05/08/15	10:17	8.61
05/08/15	10:32	8.89
05/08/15	10:47	8.56
05/08/15	11:02	8.65
05/08/15	11:17	8.54
05/08/15	11:32	8.54
05/08/15	11:47	8.44
05/08/15	12:02	8.37
05/08/15	12:17	7.93
05/08/15	12:32	8.19
05/08/15	12:47	8.44
05/08/15	13:02	8.19
05/08/15	13:17	8.30
05/08/15	13:32	8.23
05/08/15	13:47	8.35
05/08/15	14:02	8.14
05/08/15	14:17	8.35
05/08/15	14:32	8.35
05/08/15	14:47	8.54
05/08/15	15:02	8.77
05/08/15	15:17	9.03
05/08/15	15:32	9.26
05/08/15	15:47	9.19
05/08/15	16:02	9.26
05/08/15	16:17	9.05
05/08/15	16:32	8.68
05/08/15	16:47	8.79
05/08/15	17:02	8.82
05/08/15	17:17	9.03
05/08/15	17:32	8.77
05/08/15	17:47	8.98
05/08/15	18:02	8.72
05/08/15	18:17	8.79
05/08/15	18:32	8.98
05/08/15	18:47	8.91
05/08/15	19:02	9.21
05/08/15	19:17	9.26
05/08/15	19:32	9.37
05/08/15	19:47	9.63
05/08/15	20:02	9.44
05/08/15	20:17	9.05
05/08/15	20:32	9.49
05/08/15	20:47	9.58
05/08/15	21:02	9.84
05/08/15	21:17	9.51
05/08/15	21:32	9.65
05/08/15	21:47	9.42
05/08/15	22:02	9.72
05/08/15	22:17	9.86
05/08/15	22:32	9.54
05/08/15	22:47	9.82
05/08/15	23:02	9.68
05/08/15	23:17	10.17
05/08/15	23:32	10.38
05/08/15	23:47	10.19
05/09/15	0:02	10.54
05/09/15	0:17	10.40
05/09/15	0:32	10.80
05/09/15	0:47	10.96
05/09/15	1:02	11.05
05/09/15	1:17	11.24
05/09/15	1:32	11.24
05/09/15	1:47	11.52
05/09/15	2:02	11.26
05/09/15	2:17	11.36
05/09/15	2:32	11.22
05/09/15	2:47	11.36
05/09/15	3:02	11.50
05/09/15	3:17	11.38
05/09/15	3:32	11.54
05/09/15	3:47	11.31
05/09/15	4:02	10.91
05/09/15	4:17	11.12
05/09/15	4:32	11.08
05/09/15	4:47	11.24
05/09/15	5:02	10.89
05/09/15	5:17	10.77
05/09/15	5:32	11.05
05/09/15	5:47	10.63
05/09/15	6:02	10.59
05/09/15	6:17	10.31
05/09/15	6:32	10.82
05/09/15	6:47	10.52
05/09/15	7:02	10.52
05/09/15	7:17	10.33
05/09/15	7:32	10.31
05/09/15	7:47	10.24
05/09/15	8:02	10.12
05/09/15	8:17	10.17
05/09/15	8:32	10.00
05/09/15	8:47	10.12
05/09/15	9:02	9.93
05/09/15	9:17	9.75
05/09/15	9:32	9.75
05/09/15	9:47	9.05
05/09/15	10:02	9.26
05/09/15	10:17	9.37
05/09/15	10:32	9.26
05/09/15	10:47	9.35
05/09/15	11:02	9.17
05/09/15	11:17	9.05
05/09/15	11:32	9.12
05/09/15	11:47	9.31
05/09/15	12:02	9.28
05/09/15	12:17	9.33
05/09/15	12:32	9.21
05/09/15	12:47	9.21
05/09/15	13:02	9.00
05/09/15	13:17	9.24
05/09/15	13:32	9.07
05/09/15	13:47	8.86
05/09/15	14:02	8.84
05/09/15	14:17	8.86
05/09/15	14:32	8.86
05/09/15	14:47	8.89
05/09/15	15:02	8.79
05/09/15	15:17	8.84
05/09/15	15:32	9.14
05/09/15	15:47	8.91
05/09/15	16:02	9.05
05/09/15	16:17	9.31
05/09/15	16:32	9.19
05/09/15	16:47	9.12
